Price,Close,High,Low,Open,Volume
Ticker,002664.SZ,002664.SZ,002664.SZ,002664.SZ,002664.SZ
Date,,,,,
2025-06-20,17.770000457763672,18.399999618530273,17.68000030517578,18.280000686645508,12199000
2025-06-23,17.829999923706055,17.850000381469727,17.530000686645508,17.530000686645508,8096700
2025-06-24,18.420000076293945,18.6299991607666,17.8799991607666,17.940000534057617,12934094
2025-06-25,18.600000381469727,18.860000610351562,18.31999969482422,18.450000762939453,10169400
2025-06-26,18.239999771118164,19.079999923706055,18.229999542236328,18.639999389648438,10130402
2025-06-27,18.239999771118164,18.649999618530273,18.209999084472656,18.399999618530273,6471000
2025-06-30,18.469999313354492,18.6200008392334,18.209999084472656,18.440000534057617,6570900
2025-07-01,18.190000534057617,18.459999084472656,18.010000228881836,18.329999923706055,6453200
2025-07-02,17.899999618530273,18.190000534057617,17.760000228881836,18.049999237060547,5414574
2025-07-03,17.8700008392334,18.079999923706055,17.770000457763672,17.899999618530273,4933494
2025-07-04,17.700000762939453,17.920000076293945,17.59000015258789,17.790000915527344,5145400
2025-07-07,17.56999969482422,17.65999984741211,17.309999465942383,17.65999984741211,5931000
2025-07-08,17.799999237060547,17.8700008392334,17.450000762939453,17.56999969482422,5825200
2025-07-09,17.6200008392334,18.25,17.600000381469727,18.0,7488636
2025-07-10,17.399999618530273,17.6200008392334,17.350000381469727,17.559999465942383,5924385
2025-07-11,17.850000381469727,18.18000030517578,17.3700008392334,17.440000534057617,10317800
2025-07-14,18.209999084472656,18.280000686645508,17.780000686645508,17.850000381469727,10742600
2025-07-15,18.09000015258789,18.31999969482422,17.889999389648438,18.229999542236328,7796200
2025-07-16,18.6299991607666,18.850000381469727,18.020000457763672,18.110000610351562,18556500
2025-07-17,19.540000915527344,19.559999465942383,18.280000686645508,18.600000381469727,21620000
2025-07-18,19.520000457763672,19.75,19.25,19.549999237060547,14738600
2025-07-21,19.75,20.399999618530273,19.5,19.729999542236328,20287480
2025-07-22,19.969999313354492,20.780000686645508,19.799999237060547,19.989999771118164,21592300
2025-07-23,20.809999465942383,21.0,19.68000030517578,19.799999237060547,25839045
2025-07-24,21.690000534057617,22.280000686645508,20.5,20.649999618530273,27907323
2025-07-25,21.790000915527344,22.059999465942383,21.25,21.709999084472656,18210917
2025-07-28,21.799999237060547,22.969999313354492,21.65999984741211,21.790000915527344,21518700
2025-07-29,22.540000915527344,23.0,21.719999313354492,21.790000915527344,18320737
